episode,character,actor,criminal
1,亀井刑事,愛川欽也,0
1,十津川警部,三橋達也,0
1,宮本孝,中島久之,0
1,安田章,村上正次,0
1,川島史郎,保積ぺぺ,0
1,片岡清之,火野正平,0
1,村上陽子,風吹ジュン,0
1,橋口まゆみ,伊藤咲子,0
1,町田隆夫,風間杜夫,1
1,清水刑事,速水亮,0
1,日下刑事,長谷川弘,0
1,西本刑事,友金敏雄,0
1,三浦刑事,高峰圭二,0
1,江島警部,宮城健太郎,0
2,深尾尚子,大谷直子,0
2,井村正義,緒方拳,1
2,木元,阿部希郎,0
2,十津川警部,三橋達也,0
2,亀井刑事,愛川欽也,0
2,清水,井川大輔,0
3,岡田利男,大門正明,0
3,小林和美,大場久美子,0
3,長谷川浩子,鈴鹿景子,0
3,亀井刑事,愛川欽也,0
3,小野刑事,村野武範,0
3,加藤昌彦,尾藤イサオ,1
4,亀井刑事,愛川欽也,0
4,坂口由美子,浅野ゆう子,1
4,田辺淳,高岡健二,0
4,タハラ,殿山泰司,0
4,坂口文子,岡田茉莉子,1
4,清水刑事,井川大輔,0
4,北条早苗,山村紅葉,0
4,十津川警部,三橋達也,0
5,亀井刑事,愛川欽也,0
5,二宮由美,大空真弓,1
5,北条刑事,山村紅葉,0
5,清水刑事,井川大輔,0
5,青木琢二,三ツ本清隆,1
5,西本刑事,森本レオ,0
5,十津川警部,天知茂,0
5,坂上辰平,加藤嘉,0
5,立野由太郎,田中明夫,0
5,落合,小沢象,0
5,岡本,松本朝夫,0
6,亀井刑事,愛川欽也,0
6,神木美也子,白都真里,1
6,清水刑事,井川大輔,0
6,北条刑事,山村紅葉,0
6,本田めぐみ,藍とも子,0
6,高橋理沙,浅野ゆう子,0
6,西本刑事,森本レオ,0
6,十津川警部,三橋達也,0
6,井崎徹,清水健太郎,0
7,亀井刑事,愛川欽也,0
7,久原夏子,中野良子,1
7,五十嵐明,平幹二郎,0
7,磯見圭介,北詰友樹,0
7,片山由美,丸山秀美,0
7,バーのマダム,加茂さくら,0
7,北条刑事,山村紅葉,0
7,清水刑事,井川大輔,0
7,本田課長,鈴木瑞穂,0
7,荒川,森川正太,0
7,西本刑事,森本レオ,0
7,十津川警部,三橋達也,0
7,原勝一,立川光貴,0
7,後藤正也,宮口二朗,0
8,亀井刑事,愛川欽也,0
